game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b,mode,pair
2,expectimax_d3,expectimax_d2,B,42,43,24.3169711,3.8055688,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_expectimax_d2
0,expectimax_d3,greedy,A,57,45,32.1657084,0.3385594,25,25,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_greedy
1,expectimax_d3,greedy,B,48,51,34.8304173,0.3685256,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_greedy
2,expectimax_d3,greedy,B,42,50,31.1650841,0.3837664,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_greedy
0,expectimax_d3,mcts,draw,44,44,28.8842528,4.8416677,23,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_mcts
1,expectimax_d3,mcts,A,57,42,31.6540206,5.3634861,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_mcts
2,expectimax_d3,mcts,B,32,46,17.8389155,3.878193,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_mcts
0,expectimax_d3,random,A,96,7,24.534994,9.3e-05,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_random
1,expectimax_d3,random,A,93,4,28.3725514,8.26e-05,23,23,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_random
2,expectimax_d3,random,A,74,21,19.8194385,8.01e-05,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_random
0,expectimax_d3,rule,A,54,43,29.8212739,0.2216365,25,25,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_rule
1,expectimax_d3,rule,A,57,45,31.6911697,0.2144609,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_rule
2,expectimax_d3,rule,A,67,44,30.7693067,0.2973758,25,25,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_rule
0,greedy,expectimax_d2,A,60,37,0.3938355,4.0625906,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,greedy_expectimax_d2
1,greedy,expectimax_d2,B,51,53,0.586195301,5.222075801,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,greedy_expectimax_d2
