agent_a,agent_b,game,agent,opponent,seat,score,captures,net_captures,capture_points,control_points,passes,pass_rate,chosen_move1,chosen_move2,chosen_mobilize,chosen_capture,chosen_swap,exposed_move1,exposed_move2,exposed_mobilize,exposed_capture,exposed_swap,game_final_pass_streak,game_deadlocked
expectimax,mcts,22,expectimax,mcts,first,6,2,2,6,0,47,0.940000,0,1,0,2,0,0,1,3,2,48,94,True
expectimax,mcts,22,mcts,expectimax,second,0,0,0,0,0,47,0.940000,0,1,2,0,0,0,1,3,2,48,94,True
expectimax,mcts,23,expectimax,mcts,first,57,14,1,42,15,0,0.000000,20,8,3,14,5,42,24,14,22,9,0,False
expectimax,mcts,23,mcts,expectimax,second,43,5,1,15,28,0,0.000000,8,12,15,5,10,37,23,21,18,13,0,False
expectimax,mcts,24,expectimax,mcts,first,0,0,0,0,0,47,0.940000,1,0,1,0,1,1,0,1,49,2,95,True
expectimax,mcts,24,mcts,expectimax,second,0,0,0,0,0,48,0.960000,0,0,1,0,1,0,0,1,49,2,95,True
expectimax,mcts,25,expectimax,mcts,first,54,10,1,30,24,0,0.000000,16,11,7,10,6,43,22,22,13,15,0,False
expectimax,mcts,25,mcts,expectimax,second,51,8,1,24,27,0,0.000000,10,13,11,8,8,41,23,23,16,13,0,False
expectimax,mcts,26,expectimax,mcts,first,53,12,5,36,17,0,0.000000,19,10,4,12,5,40,25,22,18,14,0,False
expectimax,mcts,26,mcts,expectimax,second,52,7,0,21,31,0,0.000000,10,11,14,7,8,38,25,22,19,15,0,False
expectimax,mcts,27,expectimax,mcts,first,66,12,0,36,30,0,0.000000,18,9,5,12,6,30,22,37,18,14,0,False
expectimax,mcts,27,mcts,expectimax,second,36,6,0,18,18,0,0.000000,10,12,13,6,9,27,24,41,14,16,0,False
expectimax,mcts,28,expectimax,mcts,first,59,13,1,39,20,0,0.000000,15,13,2,13,7,35,27,33,14,14,0,False
expectimax,mcts,28,mcts,expectimax,second,45,7,3,21,24,0,0.000000,12,9,13,7,9,34,22,35,8,15,0,False
expectimax,mcts,29,expectimax,mcts,first,3,1,1,3,0,48,0.960000,0,1,0,1,0,1,1,0,50,0,96,True
expectimax,mcts,29,mcts,expectimax,second,0,0,0,0,0,48,0.960000,2,0,0,0,0,2,0,0,50,0,96,True
expectimax,minimax,0,expectimax,minimax,first,41,7,3,21,20,0,0.000000,13,13,9,7,8,23,19,49,7,12,0,False
expectimax,minimax,0,minimax,expectimax,second,63,13,0,39,24,0,0.000000,17,8,6,13,6,22,14,49,13,10,0,False
expectimax,minimax,1,expectimax,minimax,first,48,11,4,33,15,0,0.000000,15,12,5,11,7,29,24,41,15,8,0,False
expectimax,minimax,1,minimax,expectimax,second,59,9,0,27,32,0,0.000000,14,9,10,9,8,32,28,44,11,10,0,False
expectimax,minimax,2,expectimax,minimax,first,60,11,1,33,27,0,0.000000,13,11,8,11,7,27,27,34,14,12,0,False
expectimax,minimax,2,minimax,expectimax,second,49,9,0,27,22,0,0.000000,15,11,7,9,8,29,29,35,12,12,0,False
expectimax,minimax,3,expectimax,minimax,first,65,13,1,39,26,0,0.000000,14,9,8,13,6,26,22,41,14,11,0,False
expectimax,minimax,3,minimax,expectimax,second,41,6,1,18,23,0,0.000000,16,14,5,6,9,27,25,40,7,11,0,False
expectimax,minimax,4,expectimax,minimax,first,31,8,0,24,7,0,0.000000,20,10,6,8,6,30,18,42,8,10,0,False
expectimax,minimax,4,minimax,expectimax,second,62,10,0,30,32,0,0.000000,9,13,8,10,10,23,19,42,11,12,0,False
expectimax,minimax,5,expectimax,minimax,first,60,9,0,27,33,0,0.000000,16,12,5,9,8,26,23,39,9,10,0,False
expectimax,minimax,5,minimax,expectimax,second,39,8,0,24,15,0,0.000000,15,9,10,8,8,24,24,41,11,9,0,False
expectimax,minimax,6,expectimax,minimax,first,44,7,0,21,23,0,0.000000,13,17,6,7,7,33,22,39,10,8,0,False
expectimax,minimax,6,minimax,expectimax,second,57,12,1,36,21,0,0.000000,17,5,7,12,9,31,15,37,16,11,0,False
expectimax,minimax,7,expectimax,minimax,first,63,13,1,39,24,0,0.000000,15,6,9,13,7,32,18,42,18,9,0,False
expectimax,minimax,7,minimax,expectimax,second,39,7,0,21,18,0,0.000000,13,15,6,7,9,33,25,41,12,10,0,False
expectimax,minimax,8,expectimax,minimax,first,0,0,0,0,0,50,1.000000,0,0,0,0,0,0,0,0,50,0,100,True
expectimax,minimax,8,minimax,expectimax,second,0,0,0,0,0,50,1.000000,0,0,0,0,0,0,0,0,50,0,100,True
expectimax,minimax,9,expectimax,minimax,first,33,5,2,15,18,0,0.000000,14,11,9,5,11,32,22,35,12,11,0,False
expectimax,minimax,9,minimax,expectimax,second,70,14,4,42,28,0,0.000000,13,10,9,14,4,28,24,38,21,9,0,False
expectimax,minimax,10,expectimax,minimax,first,49,11,3,33,16,0,0.000000,18,9,6,11,6,30,19,40,12,11,0,False
