agent,personal_turn,mean_score,std_score,observations
random,23,3.275000,3.595794,360
random,24,3.413889,3.689679,360
random,25,3.536111,3.742971,360
random,26,3.700000,3.890421,360
random,27,3.827778,4.015750,360
random,28,3.972222,4.084662,360
random,29,4.072222,4.181842,360
random,30,4.227778,4.273818,360
random,31,4.344444,4.405393,360
random,32,4.475000,4.485748,360
random,33,4.575000,4.571918,360
random,34,4.697222,4.666600,360
random,35,4.850000,4.799576,360
random,36,4.947222,4.883603,360
random,37,5.091667,5.032478,360
random,38,5.238889,5.184468,360
random,39,5.327778,5.297638,360
random,40,5.447222,5.420737,360
random,41,5.544444,5.478570,360
random,42,5.647222,5.557047,360
random,43,5.725000,5.615779,360
random,44,5.797222,5.646059,360
random,45,5.861111,5.714921,360
random,46,5.969444,5.809574,360
random,47,6.072222,5.874766,360
random,48,6.188889,5.941956,360
random,49,6.272222,6.074129,360
random,50,6.358333,6.145129,360
rule,1,0.475000,0.500070,360
rule,2,1.869444,1.430725,360
rule,3,3.158333,2.049509,360
rule,4,4.538889,2.662782,360
rule,5,5.688889,3.144237,360
rule,6,6.630556,3.542761,360
rule,7,7.763889,4.012838,360
rule,8,9.050000,4.466870,360
rule,9,10.316667,4.955484,360
rule,10,11.430556,5.412835,360
rule,11,12.558333,5.715340,360
rule,12,13.855556,6.171750,360
rule,13,15.100000,6.581057,360
rule,14,16.333333,7.114268,360
rule,15,17.538889,7.579744,360
rule,16,18.661111,8.001507,360
rule,17,19.916667,8.466467,360
rule,18,21.152778,8.909104,360
rule,19,22.347222,9.380772,360
rule,20,23.616667,9.882753,360
rule,21,24.694444,10.213649,360
rule,22,25.875000,10.766369,360
rule,23,27.197222,11.315062,360
rule,24,28.655556,11.877894,360
rule,25,29.716667,12.309959,360
rule,26,30.788889,12.810158,360
rule,27,31.883333,13.365767,360
rule,28,33.025000,13.862313,360
rule,29,34.147222,14.414013,360
rule,30,35.475000,14.958231,360
rule,31,36.775000,15.440313,360
rule,32,37.952778,15.958005,360
rule,33,39.161111,16.414771,360
