mode,pair,game,agent,opponent,seat,outcome,score,margin,decision_time_seconds,decisions,turns,milliseconds_per_decision,board
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d4_expectimax_d2,0,expectimax_d4,expectimax_d2,first,1.0,22,15,68.8166505,6,6,11469.441749999998,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d4_expectimax_d2,0,expectimax_d2,expectimax_d4,second,0.0,7,-15,1.084818,5,5,216.96359999999999,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d4_expectimax_d3,0,expectimax_d4,expectimax_d3,first,1.0,22,15,68.9787151,6,6,11496.452516666666,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d4_expectimax_d3,0,expectimax_d3,expectimax_d4,second,0.0,7,-15,8.2664307,5,5,1653.2861400000002,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d4_rule,0,expectimax_d4,rule,first,1.0,20,14,64.9535315,5,5,12990.7063,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d4_rule,0,rule,expectimax_d4,second,0.0,6,-14,0.0161122,4,4,4.02805,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,rule_expectimax_d2,0,rule,expectimax_d2,first,1.0,22,15,0.031083,6,6,5.180499999999999,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,rule_expectimax_d2,0,expectimax_d2,rule,second,0.0,7,-15,1.0285934,5,5,205.71868000000003,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,rule_expectimax_d3,0,rule,expectimax_d3,first,1.0,22,15,0.0307677,6,6,5.127949999999999,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,rule_expectimax_d3,0,expectimax_d3,rule,second,0.0,7,-15,7.4553679,5,5,1491.0735799999998,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,rule_expectimax_d4,0,rule,expectimax_d4,first,1.0,22,15,0.039706,6,6,6.617666666666666,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,rule_expectimax_d4,0,expectimax_d4,rule,second,0.0,7,-15,73.3886124,5,5,14677.72248,Inner ring
