mode,geometry,objectives,score_goal,game,agent_a,agent_b,winner,score_a,score_b,turns_a,turns_b,total_turns,goal_reached,winning_score
spread_outer_center_goal60,Outer orbit,Single center,60,7,random,rule,B,0,63,11,11,22,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,0,rule,greedy,A,63,45,16,15,31,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,1,rule,greedy,B,7,64,12,12,24,True,64
spread_outer_center_goal60,Outer orbit,Single center,60,2,rule,greedy,A,64,50,18,17,35,True,64
spread_outer_center_goal60,Outer orbit,Single center,60,3,rule,greedy,B,40,63,16,16,32,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,4,rule,greedy,B,26,63,13,13,26,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,5,rule,greedy,A,62,19,12,11,23,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,6,rule,greedy,B,15,62,12,12,24,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,7,rule,greedy,B,10,61,14,14,28,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,0,rule,random,A,62,0,12,11,23,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,1,rule,random,A,63,6,16,15,31,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,2,rule,random,A,65,6,13,12,25,True,65
spread_outer_center_goal60,Outer orbit,Single center,60,3,rule,random,A,61,0,13,12,25,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,4,rule,random,A,65,12,15,14,29,True,65
spread_outer_center_goal60,Outer orbit,Single center,60,5,rule,random,A,61,0,11,10,21,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,6,rule,random,A,61,25,17,16,33,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,7,rule,random,A,62,20,13,12,25,True,62
spread_outer_multi_goal60,Outer orbit,Distributed,60,0,greedy,random,A,60,5,13,12,25,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,1,greedy,random,A,63,3,13,12,25,True,63
spread_outer_multi_goal60,Outer orbit,Distributed,60,2,greedy,random,A,64,11,16,15,31,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,3,greedy,random,A,64,10,12,11,23,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,4,greedy,random,A,64,12,12,11,23,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,5,greedy,random,A,62,2,15,14,29,True,62
spread_outer_multi_goal60,Outer orbit,Distributed,60,6,greedy,random,A,60,6,12,11,23,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,7,greedy,random,A,62,6,15,14,29,True,62
spread_outer_multi_goal60,Outer orbit,Distributed,60,0,greedy,rule,A,61,54,14,13,27,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,1,greedy,rule,B,48,61,16,16,32,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,2,greedy,rule,A,61,48,15,14,29,True,61
