game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,mode,pair,family,condition
0,mcts,expectimax,B,2,6,0.5721349,1.3271686,4,4,search_deck_swap_25,mcts_expectimax,Deck,Swap-heavy
1,mcts,expectimax,A,23,21,3.7209371,10.9762244,25,25,search_deck_swap_25,mcts_expectimax,Deck,Swap-heavy
2,mcts,expectimax,A,29,20,3.940328,10.486496,25,25,search_deck_swap_25,mcts_expectimax,Deck,Swap-heavy
0,mcts,rule,B,23,31,3.8840001,0.0829364,25,25,search_deck_swap_25,mcts_rule,Deck,Swap-heavy
1,mcts,rule,B,23,31,4.0425641,0.1070638,25,25,search_deck_swap_25,mcts_rule,Deck,Swap-heavy
2,mcts,rule,B,21,28,3.9450423,0.1064984,25,25,search_deck_swap_25,mcts_rule,Deck,Swap-heavy
0,rule,expectimax,A,33,20,0.0949867,12.220813,25,25,search_deck_swap_25,rule_expectimax,Deck,Swap-heavy
1,rule,expectimax,A,35,13,0.1283107,12.7613513,25,25,search_deck_swap_25,rule_expectimax,Deck,Swap-heavy
2,rule,expectimax,A,28,18,0.0811079,10.2212412,25,25,search_deck_swap_25,rule_expectimax,Deck,Swap-heavy
0,rule,mcts,A,32,20,0.0776804,3.7702809,25,25,search_deck_swap_25,rule_mcts,Deck,Swap-heavy
1,rule,mcts,A,30,17,0.0742226,3.8533554,25,25,search_deck_swap_25,rule_mcts,Deck,Swap-heavy
2,rule,mcts,A,31,20,0.099805,4.03127,25,25,search_deck_swap_25,rule_mcts,Deck,Swap-heavy
